Video,Video title,Video pub­lish time,Av­er­age per­cent­age viewed (%),Views,Watch time (hours),Sub­scribers,Your es­tim­ated rev­en­ue (CZK),Im­pres­sions,Im­pres­sions click-through rate (%)
Total,,,24.7,1194,156.318,-7,0.009,28431,2.31
UKRsgTDEyFI,Nová osada - Frostpunk - #1,"Nov 1, 2020",29.55,96,10.7092,0,0,1349,4.67
pqzNEIy_nFY,Vlastní středověký obchůdek - SHOP TITANS - #1,"Nov 12, 2020",29.06,91,11.9127,1,0,1261,4.36
twHy9Ft2wMo,Robot! - Frostpunk - #2,"Nov 4, 2020",30.29,73,9.9121,0,0,1490,3.42
gV9bIJY75-E,Koukám do chatu za jízdy... co se může pokazit? ETS Stream!,"Nov 18, 2020",14.4,69,10.0213,-1,0,2412,1.78
qFjz1r9_ZRs,Sestřih z Teardown streamu!,"Nov 7, 2020",25.07,68,6.1315,0,0,1317,2.73
dRwploxQxQs,Počátek diktatury! - Frostpunk - #5,"Nov 16, 2020",35,66,11.8568,-1,0,1029,2.72
eMppkdQPnks,Nové recepty! - SHOP TITANS - #2,"Nov 19, 2020",24.45,48,5.2457,0,0,1002,3.49
tdmPRnVN89o,Londýňané! Zrádci! - Frostpunk - #4,"Nov 11, 2020",45.04,48,9.4404,0,0,1169,1.88
OP323k7Od3I,Technická revoluce! - Frostpunk - #3,"Nov 8, 2020",44.33,46,9.8169,0,0,1293,2.17
rAeOoADcnUw,Space Engineers #1 - Začínáme,"Dec 26, 2014",21.58,46,5.1204,2,0.009,541,4.62
yFu5ZK45C9Q,Vítej na mém kanále!,"Jan 1, 1970",82.43,22,0.1965,0,0,0,
2yS1KuJBjTw,Space Engineers #2 - Krádež lodě,"Dec 28, 2014",32.95,15,2.7145,0,0,329,1.82
r6GjK7Lc2rA,Mount & Blade: Warband #1 - Tvorba postavy a začátek,"Feb 7, 2014",23.76,14,1.7452,0,0,51,19.61
4hzstkJ82zY,Papercraft - Gogo (#3),"Feb 13, 2013",13.13,12,0.0914,-1,0,372,2.69
8PP6jvTs2UU,Space Engineers #58 - Nová loď,"Mar 31, 2016",7.81,11,0.5757,0,0,107,7.48
XTatUjB2PV8,Spore - Král oceánů - #2,"Jun 14, 2020",31.47,11,1.3461,1,0,103,6.8
ROyBKwHgxH0,Spore - Vesmírná dobrodružství! - #14,"Aug 16, 2020",21.53,10,1.054,0,0,164,2.44
kEYpHHEETMk,Jak začít v bannerlordu? #1,"May 9, 2020",12,10,0.6926,0,0,66,4.55
O16G2IBKtgs,Space Engineers #3 - začínáme s těžící lodí,"Dec 30, 2014",27.73,9,1.3907,0,0,156,2.56
f32Hwv3s7DA,Space Engineers #4 - Těžící lodička,"Jan 4, 2015",26.86,9,1.2108,0,0,96,3.13
m25AQ9f-eCU,Spore - Střed galaxie! - #17,"Aug 30, 2020",19.07,9,0.6641,0,0,228,2.19
tABnYCGuhmA,Spore - Neolitická revoluce - #6,"Jul 1, 2020",27.3,9,0.9836,0,0,134,2.24
AckwXQM2WOc,Silk + Oskar Stålberg,"Jan 22, 2016",8.39,8,0.4599,0,0,76,6.58
GbWCyCY7Prs,Spore - Král pravěku - #8,"Jul 9, 2020",46.1,8,1.1831,0,0,127,0.79
RW49QW0kuUQ,Spore - Budování obchodního impéria - #11,"Jul 26, 2020",54.26,8,1.4808,0,0,118,1.69
W0IcgNNImB4,Spore - Počátek života - #1,"Jun 10, 2020",58.77,8,1.2564,0,0,96,5.21
rz-GbMB0qD4,Space Engineers #38 - Planety! [Pokažený zvuk- info v popisku],"Nov 14, 2015",8.36,8,0.3924,0,0,80,6.25
hXooiMIgNjY,Spore - Super dlouhý speciál! - #15,"Aug 23, 2020",17.1,7,1.2746,0,0,174,1.15
YkS5lciIvbk,Kingdom Come: Deliverance #2 - Bojový systém,"Mar 12, 2016",4.8,6,0.2022,0,0,40,2.5
br4f5ZqTajs,Spore - Jsme meziplanetární druh! - #12,"Aug 2, 2020",56.04,6,1.5747,0,0,156,0.64
d1qaWUbL5dA,Live Stream - Factorio!,"Sep 2, 2020",19.55,6,1.1861,0,0,206,0.97
i8PtIq0YAM4,Space Engineers #12 - Nehmotná svářečka!,"Apr 1, 2015",29.39,6,1.3045,0,0,55,3.64
nhUYpqiNbWw,Valiant Hearts #1 - Začátek války,"Oct 2, 2015",31.42,6,0.9035,0,0,21,4.76
rHoQrS1qT0g,Space Engineers #5 - Český dabing stojí za nic,"Jan 13, 2015",17.32,6,0.4347,0,0,78,2.56
4duHOgGvcF8,Spore - Souboj titánů - #5,"Jun 28, 2020",56.37,5,1.0171,0,0,101,1.98
4um3fuGBSa8,Spore - Kmenové války - #7,"Jul 5, 2020",59.27,5,1.3698,0,0,127,1.57
BXb2ifr8BNY,Space Engineers #11 - Za tohle se budu nesnášet,"Mar 23, 2015",41.18,5,1.1416,0,0,48,2.08
G9Pxbz0AuAE,Spore stream #4,"Feb 8, 2016",1.29,5,0.3013,0,0,21,19.05
HXD-E-oJXuk,Návody #11 - Obsidian generator,"Mar 28, 2013",37.31,5,0.0819,0,0,35,14.29
HbS0Jo35Rg0,Live Stream - Euro Truck Simulator 2!,"Sep 9, 2020",10.98,5,0.528,0,0,232,0.86
Qrzd4vsYDG4,Space Engineers #13 - Solární panely a nefungující anténa,"Apr 14, 2015",15.2,5,0.4979,0,0,65,3.08
XW_ZJhATFi0,Space Engineers #6 - Drtič,"Feb 1, 2015",33.46,5,1.1038,0,0,87,1.15
ZZB2FMn_0Fs,Spore - Les kostí - #4,"Jun 24, 2020",43.57,5,0.9398,0,0,122,1.64
dZdrJjEOH_U,Space Engineers #14 - Nekonečný svět + průzkumník,"May 20, 2015",11.26,5,0.3347,0,0,52,3.85
eElv4yyURf0,Valiant Hearts #6 - Emil před vojenským soudem,"Oct 16, 2015",15.54,5,0.418,0,0,27,7.41
kHfM5p3NQSA,Space Engineers #8 - Rafinovanost sama,"Feb 26, 2015",32.35,5,0.6799,0,0,46,4.35
r_ziH2ssHvY,Spore - Obchod s kořením právě začíná! - #13,"Aug 9, 2020",59.55,5,1.3431,0,0,157,0
rhDev9k4gBM,This war of mine #1 - První noc,"Jul 7, 2016",28.12,5,0.9166,0,0,38,7.89
w6vVD2ut2No,Dovolená ve Švédsku,"Oct 3, 2016",38.13,5,0.4713,0,0,146,2.05
zpq_WTHG_X4,Space Engineers #7 - Velké plány,"Feb 13, 2015",23.75,5,0.7025,0,0,56,0
5-EZdVXPmqY,Spore stream #5,"Feb 15, 2016",0.91,4,0.0731,0,0,17,11.76
LNSYkpTwTec,Spore - Počátek civilizace - #9,"Jul 12, 2020",55.09,4,0.7247,0,0,114,0.88
RbrNnLaQwSs,Space Engineers #9 - Stavíme montéry,"Mar 4, 2015",26.87,4,0.6797,0,0,55,1.82
m3q9VXyyTdc,MY Let's Play #1 - Začátek,"Sep 30, 2012",1.14,4,0.0146,0,0,15,20
ukNaLVAB2NU,Spore - Je to v suchu! Jakože na souši. - #3,"Jun 18, 2020",61.78,4,1.0387,0,0,105,2.86
xTQK8GMO4yM,Spore - Architektonická přehlídka - #10,"Jul 19, 2020",60.7,4,0.6792,0,0,116,0
zLPRQz-EFVA,Spore stream #6,"Feb 25, 2016",0.24,4,0.0153,0,0,17,11.76
2WPuPfSSVRc,Valiant Hearts #5 - Pomoc na frontě,"Oct 10, 2015",57.57,3,0.9294,0,0,29,6.9
6s8HsAQQ_GQ,Space Engineers #32 - Lodě na baterky,"Sep 9, 2015",3.41,3,0.0722,0,0,71,4.23
CTHdJPUAIIs,GoGo mi to natřel - Papírová challenge,"Nov 4, 2013",60.34,3,0.0226,0,0,11,18.18
DN2X1KLikmk,Valiant Hearts #3 - Hon za baronem,"Oct 6, 2015",62.66,3,1.0115,0,0,23,8.7
ImKlkYYmOwA,Space Engineers #10 - Velké řezání + save,"Mar 12, 2015",36.6,3,0.5975,0,0,53,0
Q2CbyxTJRwk,Spore - Destrukce! - #16,"Aug 27, 2020",36.6,3,0.6592,0,0,178,1.12
Q6JBVjdhk6o,Spore stream #3,"Feb 7, 2016",3.77,3,0.6696,0,0,19,15.79
R0uhbUFbdYU,Drony na Divoké Šárce,"Apr 27, 2018",8.2,3,0.0154,0,0,162,1.23
RIIELUDWxyQ,Spore #1 - Menší než kdo dřív!,"Jul 17, 2013",31.36,3,0.4489,0,0,11,0
XnCcP8p-xBM,Crafákův Subserver #3 - Poznáváme sousedy,"Jul 11, 2017",14.56,3,0.2435,0,0,41,7.32
YAuIBEFwZFU,Naproti Vaňkovce - Brno,"May 7, 2018",17.81,3,0.0316,0,0,98,2.04
fj0YfrUqHbs,Space Engineers #30 - Stavba bojové lodi... Vlastně dvou,"Sep 5, 2015",1.12,3,0.0223,0,0,90,1.11
gQCKPRflXtE,Space Engineers #15 - Plujeme vesmírem,"May 31, 2015",1.57,3,0.031,0,0,61,3.28
jUe2tchs3OY,Space Engineers #19 - Velké stěhování,"Jun 21, 2015",21.18,3,0.4325,0,0,34,5.88
17oQ9v74MJA,Valiant Hearts #2 - Střetnutí,"Oct 4, 2015",96.45,2,1.1338,0,0,32,6.25
4OTDcDgg-7s,Space Engineers #34 - První reálný souboj,"Oct 11, 2015",27.06,2,0.3108,0,0,32,6.25
7H1bdgfSDwU,Space Engineers #18 - Výprava za zlatem,"Jun 20, 2015",50.4,2,0.6863,0,0,34,0
ET7y9x7z0EA,Space Engineers #39 - Přistávací modul,"Nov 15, 2015",6.16,2,0.0954,0,0,43,2.33
HYyCIYmGhko,Raft #1 - Ztraceni na moři,"Jan 7, 2017",0.07,2,0.0007,0,0,65,1.54
HhvhIEniCzo,Papercraft - minecrafák (#1),"Feb 12, 2013",12.01,2,0.015,0,0,41,2.44
Hy0iN1KR9XY,Valiant Hearts #7 - Neštěstí v pevnosti,"Oct 19, 2015",46.27,2,0.5164,0,0,27,3.7
